championName,Agressividade,Controle de Mapa,Eficiência de Recursos,Pressão em Estruturas,Sustentação e Sobrevivência,Impacto Utilitário,Impacto no Early Game,Controle de Objetivos
Amumu,0.24959659130115433,0.3835060340986242,0.2052766349446701,0.2569135937035239,-0.5043794843188846,0.31187417442200643,0.3023636630250917,0.5543193235634061
Belveth,0.32673900920480936,0.33161302639648665,0.40478299099840714,0.5095336715064184,0.08030452676261013,0.1704243819463065,0.5568031690600456,0.4353136300183889
Brand,0.35104221754994097,0.38725771364170786,0.5374652505540934,0.2574762917044997,-0.35961570533101567,0.17867990581542195,0.42705953076799763,0.4769492384122208
Briar,0.5090464009701593,0.26985933936376305,0.4110996284483396,0.1875031510001705,-0.5428863695354506,0.2702882298279067,0.388866137020526,0.3682985003673398
Darius,0.391763173533341,0.3204940934189908,0.3949454115558294,0.33034989153504807,-0.2628406610166838,0.29439183888208875,0.5401761037442764,0.4351219264517029
Diana,0.3572608534014057,0.27906591320995056,0.5175764275410171,0.48033459722355865,-0.35227091565266955,0.23334403530750256,0.39379712072997153,0.3460172012797193
DrMundo,0.20234080949962185,0.3174212798116216,0.5425452939682143,0.2504790196530406,0.23811871048633604,0.08937983261342379,0.4149889752112091,0.3835542193800566
Ekko,0.525137471901209,0.4532614228574337,0.5831757873096952,0.5142994195250584,0.10037446043617071,0.14284153365019311,0.4585698785074137,0.5385305433149462
Elise,0.4945610924709253,0.32974211980666845,0.2565468967094248,0.44974182193557866,-0.11709973411060254,0.136394706483169,0.17340830730857046,0.3304952700420106
Evelynn,0.5512962443732566,0.24232854333115716,0.3592988515431754,0.1422265855131544,0.12918465343798913,0.18572775000628985,0.3811045311673493,0.21019624856247537
FiddleSticks,0.3558560271267077,0.37095578851650485,0.31001124068046415,0.11781253026990926,-0.18474104274096792,0.3407095083950452,0.21174618046099028,0.3462993285475016
Gragas,0.41805561317744355,0.30085264837120423,0.33474168357792633,0.23266951612964362,-0.003844996831612102,0.5255193657384774,0.23628601796597662,0.2872722861280207
Graves,0.40655690079002127,0.3149096357680252,0.5994896228671687,0.3106753795462512,-0.21671886182557965,0.09005537866316551,0.4904431437480536,0.2988784092795638
Gwen,0.3511610088273915,0.35849681019179486,0.7075423852488709,0.6328847377040058,-0.22539015939934937,0.017343293436503822,0.30802176158366606,0.4027205331197824
Hecarim,0.42068080268177627,0.23684451694514938,0.7457898280952098,0.2525960493201854,-0.06766110577964113,0.3910964684125596,0.694535606184449,0.3720179255486092
Ivern,0.2720283797575072,0.33347147026619767,0.25551997888881745,0.2989710164731042,0.5974505645589958,0.27271999865639246,0.3433864079293296,0.25682796723938506
JarvanIV,0.4303868893365557,0.36997906981722134,0.3425279331477591,0.30672995173685663,0.03848451126487712,0.18386318101598348,0.32876503306073646,0.35191172441435015
Karthus,0.700772758936943,0.20242430793580146,0.7721677532933524,0.11668859033350376,-0.8485123784416115,0.01381249035024262,0.8859372594197358,0.291478393620681
Kayn,0.45078216477562155,0.35400029369838987,0.5842709988756044,0.24969767719048108,-0.2523344343017519,0.08705142441078448,0.5144972930813512,0.40534276483684595
Khazix,0.4651371862819139,0.33904317939779766,0.5916981207128351,0.17055867721158952,0.0556225332185159,0.036656165498901994,0.4356727454760588,0.3525278828315394
Kindred,0.34303627845945894,0.25868985518537185,0.4211772450092065,0.30845916354751607,-0.32974559727006064,0.05260405977089692,0.4058717236798466,0.21263134963446775
LeeSin,0.3648730612530348,0.47588666966582294,0.32821763116850866,0.23983329426812955,0.005260908435882727,0.24114769970774677,0.43888041902740405,0.3928718487753135
Lillia,0.3574430559583213,0.1931703577614008,0.662261754821969,0.19820972966702805,0.23258555510469725,0.13218577931203962,0.47732311398765787,0.22468710056346639
MasterYi,0.5706007687115293,0.2714097280149003,0.5384624244668308,0.442820411237446,-0.38374641702164236,0.01033901622877258,0.43749599478083817,0.3376325337767554
MonkeyKing,0.31017086465864546,0.37062822143092655,0.312788560513701,0.4003128535805209,0.033850169428069676,0.1371794664528992,0.21039252995098726,0.4059620228576898
Naafiri,0.4577019304214166,0.347764014299016,0.601735181383841,0.2511582771031201,0.17663206023382882,0.0014616880543627,0.4252961351551052,0.3850262878243331
Nidalee,0.4316101017321172,0.32399846326232895,0.5136991648080588,0.3115253210459396,0.3215936992680478,0.03924643654825256,0.8173961638175711,0.301548211608378
Nocturne,0.40246447322888257,0.3332953017663359,0.49406616064361886,0.2946939819991883,-0.11464914769437756,0.1976846343017216,0.36611389268149885,0.3878488457255244
Nunu,0.33195487948770547,0.48606044744494775,0.2927986363168309,0.44574170926114476,0.011262190319103693,0.48010568045493385,0.2365184509138651,0.7085272972131146
Pantheon,0.5158067526108607,0.2533742893470668,0.3542407626645352,0.1922081092538061,-0.12313170925788502,0.21303871359469398,0.3615285585598324,0.26571374952771626
Poppy,0.2597665992772877,0.3571812918467069,0.3031432522992853,0.19716355672890823,0.06524229541347581,0.44431965487598174,0.266143778131619,0.34730323844612254
Rammus,0.2994249485632867,0.3263624232275672,0.21509399648992136,0.1747740365503816,0.43201839592477076,0.5280932080069298,0.16312491160112388,0.3941718121313023
RekSai,0.4684207354810392,0.32128539190526806,0.391794249475697,0.3704804458108111,0.14403602240745028,0.26486420716679226,0.1217617036419706,0.3451862853414392
Rengar,0.4876292481815375,0.18667125122625594,0.6772037811182094,0.569171304493046,-0.18055174967214105,0.07213757011745905,0.6267090838828668,0.15592028315909098
Sejuani,0.2737045475327631,0.3896179314049286,0.22640636137807393,0.29137764235960717,0.43532554845209215,0.2602233504612034,0.13578296846181134,0.4425157958073269
Shaco,0.6020928536138564,0.4849321299326203,0.5982840195179582,0.3034137559283678,0.05354287958061604,0.22486898308476216,0.5511758272548322,0.518656789619767
Shyvana,0.2923913905440169,0.6904125614104498,0.8326359484814475,0.6788715283738739,-0.03943892737273236,0.11154053748641472,0.5890383920303036,0.8399843929378673
Skarner,0.33503778316307725,0.2984012456515186,0.17187366879280747,0.20772746246543147,0.2732104714951745,0.2433994622099541,0.1207581488759108,0.31440341427578655
Taliyah,0.4456650075336537,0.24760430857060867,0.539709932916053,0.15278734629802054,-0.3426994076084966,0.514505981742345,0.4438604244072459,0.18740412593509234
Talon,0.5260438111734843,0.26392016100952725,0.704284881494164,0.16173395605300697,-0.040373388125602816,0.09129042109219379,0.45726864502341275,0.28536420631201004
Udyr,0.3391780782699219,0.31601489416925427,0.6581794484911315,0.38391644957812104,0.11602933968993046,0.3653084207124251,0.7454989513069554,0.451738377872953
Vi,0.27360517069603013,0.34528950689855864,0.3744139636497565,0.24704668563916332,-0.04843225279638014,0.4651483927498659,0.18812037583850924,0.2929160852430858
Viego,0.4358709874577738,0.3348275651652808,0.5096590380049258,0.33254481316157164,-0.015648705344619707,0.20642376595122242,0.39234901193415955,0.3633599409312627
Volibear,0.3018186160961256,0.3041644191604376,0.5033621580451852,0.3308005389658993,0.07863197948111417,0.23600428326140327,0.37411818505421834,0.4232858019452402
Warwick,0.542019057123771,0.3417904464443789,0.35560531019096336,0.3131271042244123,-0.4184629645120125,0.265400641702061,0.18877457689395083,0.40804386052266495
XinZhao,0.33241356803156646,0.2593966822505227,0.3497071144045448,0.29088518011335734,-0.17229080111849376,0.2072672321666824,0.33944156896207084,0.26062019076749576
Yorick,0.2817751246647115,0.33079214820728803,0.4270596032248057,0.8611050776365443,-0.08262596130486233,0.08110263017356834,0.19336826675779073,0.4335067695261929
Zac,0.3497950172963494,0.3721767514665167,0.291719854224916,0.2363705794216185,0.529301430569225,0.6134316548177747,0.18340275611250112,0.43660504354136986
Zed,0.504563835545942,0.3666633791756293,0.6963475093419679,0.1728784799184799,0.011091775483719368,0.0648042025861553,0.5189672792846008,0.3621545533066329
Zyra,0.349827698138243,0.413765872570378,0.6893880083434387,0.3306844754220338,-0.05412659627448996,0.2429521839681307,0.5639155829255921,0.4336372437681351
